Sport,Name
BA,Baseball
FB,Football
MBB,Men's Basketball
MGO,Men's Golf
MSO,Men's Soccer
MTE,Men's Tennis
LAX,Lacrosse
SB,Softball
VB,Volleyball
WBB,Women's Basketball
WGO,Women's Golf
WSO,Women's Soccer
WSW,Women's Swimming/Diving
WTE,Women's Tennis
WTR,Women's Track & Field (Indoor/Outdoor)
WWP,Women's Water Polo
XC,Cross Country
