Sport,Name,Vendor,Transactions,Value
Women's Basketball,,Opendorse,Yuka+Face,$80
Football,,Smeeple,Smeeple,$600
Football,,Smeeple,Smeeple,$600
Football,,NIL Gear Elite,Gear Drop,$0
Gymnastics,,Snowflake Designs,Snowflake Designs,$10
Women's Soccer,,Holo Footwear,Posting Product,$35
Women's Soccer,,Holo Footwear,Shoes,$65
