Sport,Name
MBB,men's basketball
MFE,men's fencing
MGO,men's golf
MRO,men's rowing
MSO,men's soccer
MSW,men's swimming
MTE,men's tennis
MTR/XC,men's track & field/cross country
MVB,men's volleyball
MWP,men's water polo
WBB,women's basketball
WFE,women's fencing
WRO,women's rowing
WSB,women's softball
WSO,women's soccer
WSW,women's swimming
WTE,women's tennis
WTR/XC,women's track & field/cross country
WVB,women's volleyball
WWP,women's water polo
